asset,category,first_valid_date,last_valid_date,obs_count,mean_daily_return,daily_vol
SPY,equity_us,2016-01-04,2024-12-31,2347,0.00017928518729998986,0.011211855504006066
VEA,equity_dev_ex_us,2016-01-04,2024-12-31,2347,0.00022576886863562103,0.010835124411850739
EEM,equity_em,2016-01-04,2024-12-31,2347,0.0002455663297440847,0.013688625381595656
IEF,rates_intermediate,2016-01-04,2024-12-31,2347,5.100307604660649e-05,0.004410945425330361
TLT,rates_long,2016-01-04,2024-12-31,2347,-2.2409311779541012e-05,0.006918048620832315
TIP,inflation,2016-01-04,2024-12-31,2347,2.0180614772294707e-05,0.004447869072918425
LQD,credit_ig,2016-01-04,2024-12-31,2347,0.00021049513251284631,0.00550761009561504
VNQ,real_estate,2016-01-04,2024-12-31,2347,0.0003646179756175267,0.009947111767269617
GLD,gold,2016-01-04,2024-12-31,2347,7.80002200785671e-05,0.008832457675754078
DBC,commodities,2016-01-04,2024-12-31,2347,0.0003476149161268986,0.012420539877931734
